SMA5,EMA5,SMA10,EMA10,SMA50,EMA50,SMA100,EMA100,Close
0.3316962,0.3333035123,0.341741,0.3390171098,0.35580354,0.3500884694,0.34087051,0.3481772277,0.328125
0.3321426,0.3330653415,0.3388392,0.3378483626,0.3556696,0.3494022157,0.34127229,0.3478685499,0.332589
0.3325892,0.3343948943,0.3363839,0.337703933,0.35558032,0.3489179719,0.34209819,0.3476544004,0.337054
0.333482,0.3345369296,0.3345981,0.3371797634,0.35558032,0.3483651495,0.34287944,0.3474002737,0.334821
0.3325892,0.3331436197,0.3323659,0.3359392609,0.35544638,0.3476589475,0.34348212,0.3470627831,0.330357
0.3321428,0.3307267465,0.3319195,0.334112668,0.35522316,0.346805381,0.34401784,0.3466435795,0.325893
0.33125,0.3298594976,0.3316963,0.3330240011,0.35508924,0.346072817,0.34457588,0.3462768749,0.328125
0.3290178,0.3285373318,0.3308035,0.3317274555,0.35513388,0.3452814516,0.34488838,0.3458732338,0.325893
0.3272322,0.3276558878,0.3303571,0.3306666454,0.35499996,0.3445211202,0.3451116,0.3454775856,0.325893
0.3267858,0.3278122586,0.3296875,0.330204528,0.35459818,0.3438781351,0.34537946,0.3451339701,0.328125
0.3272322,0.3279165057,0.3296875,0.329826432,0.35361604,0.3432603651,0.34546875,0.3447971588,0.328125
0.3272322,0.3279860038,0.3292411,0.3295170808,0.3520089,0.3426668214,0.34544643,0.344467017,0.328125
0.3263394,0.3258003359,0.3276786,0.3280465206,0.35062498,0.3418339656,0.34533483,0.3440108187,0.321429
0.3205358,0.3161585572,0.323884,0.3223789714,0.34861606,0.3400708689,0.34486608,0.3430774361,0.296875
0.313393,0.3082427048,0.3200894,0.3169302493,0.34669642,0.3382018545,0.34435269,0.3420741404,0.292411
0.3066966,0.3037094699,0.3169644,0.3128780222,0.34477678,0.3364936641,0.34406251,0.3411349099,0.294643
0.2991074,0.2991993133,0.3131698,0.3087509272,0.343125,0.3346774028,0.34366073,0.3401258819,0.290179
0.2928574,0.2961925422,0.3095984,0.3053742132,0.3413393,0.3329323674,0.34330359,0.3391368348,0.290179
0.2879466,0.2882353614,0.3042412,0.2993645381,0.33888394,0.330555451,0.34270091,0.3378137489,0.272321
0.2834822,0.2821865743,0.2984376,0.294041713,0.33638394,0.3281842176,0.34189734,0.3364726648,0.270089
0.2776786,0.2766660495,0.2921876,0.2888750379,0.3338393,0.325730915,0.34104913,0.3350697407,0.265625
0.2700892,0.2685213664,0.2845983,0.2822126674,0.33142858,0.3228486046,0.34008931,0.3334293894,0.252232
0.2665176,0.2697879109,0.2796875,0.2804141824,0.32950892,0.3208671299,0.33941966,0.3322193223,0.272321
0.2714284,0.2788169406,0.2796875,0.2834070583,0.3286607,0.319926262,0.33899555,0.3315194348,0.296875
0.2812498,0.2922766271,0.282366,0.2899141386,0.3279464,0.3198976243,0.33872769,0.3312754063,0.319196
0.2910712,0.2997617514,0.2843749,0.2944264771,0.32758926,0.3196950508,0.33830358,0.3309478141,0.314732
0.2999998,0.2987995009,0.2850445,0.294871663,0.32709818,0.3188001469,0.33774554,0.3302731049,0.296875
0.3044642,0.2974140006,0.2854909,0.2948300879,0.32660712,0.3178528078,0.33712054,0.3295675583,0.294643
0.303125,0.2950023337,0.2872767,0.2939844356,0.32571428,0.3167675604,0.3364509,0.3287875869,0.290179
0.2986608,0.2956265558,0.2899553,0.2945099928,0.32450892,0.31598746,0.33589286,0.3281556544,0.296875
0.2959822,0.2975307039,0.2935267,0.2957516304,0.32325892,0.3154130106,0.33546875,0.3276246316,0.301339
0.296875,0.2988001359,0.2984374,0.2967675158,0.32218748,0.3148610886,0.33529018,0.327104124,0.301339
0.3013392,0.3048547573,0.3029017,0.3004396038,0.32129462,0.3149435557,0.33524553,0.3269033295,0.316964
0.3066962,0.3088911715,0.3049106,0.3034440395,0.32026782,0.3150227888,0.33515624,0.3267065111,0.316964
0.310714,0.3115821143,0.3046874,0.3059022141,0.31919638,0.3150989148,0.33504463,0.3265135901,0.316964
0.3133926,0.3126320762,0.3046874,0.3075076298,0.31830352,0.3150845259,0.33482141,0.3262802913,0.314732
0.3151784,0.3118440508,0.3060267,0.3080095153,0.31758924,0.3148956426,0.33444195,0.3259632162,0.310268
0.3142856,0.3120627005,0.3078124,0.308825967,0.31687496,0.3148016958,0.33433034,0.3256966179,0.3125
0.3129464,0.311464467,0.3098213,0.3090881548,0.31589282,0.3146239038,0.33424106,0.3253911007,0.310268
0.3066964,0.302880978,0.3087052,0.3048383085,0.31433032,0.3134901821,0.33383927,0.3246054155,0.285714
0.3013392,0.297902652,0.3073659,0.3017669797,0.31290174,0.3124884495,0.33334819,0.3238794865,0.287946
0.2977678,0.2960721013,0.3064731,0.3000658925,0.31151782,0.3117010985,0.33290176,0.3232563481,0.292411
0.2955356,0.2978277342,0.3049106,0.3002973666,0.31031246,0.3112947417,0.33252229,0.3228223412,0.301339
0.2924106,0.2967661562,0.3026785,0.2992692999,0.30915174,0.3106417322,0.33223211,0.3222643345,0.294643
0.2915178,0.2915941041,0.2991071,0.2959930636,0.30772316,0.3094891153,0.33183032,0.3214521694,0.28125
0.2897322,0.2874020694,0.2955357,0.2929066884,0.30669638,0.3082941696,0.33133925,0.3206118889,0.279018
0.2861608,0.2831193796,0.2919643,0.2895698359,0.30558032,0.3069710257,0.33071425,0.3196998515,0.274554
0.2808038,0.2802642531,0.2881697,0.286839684,0.30437498,0.3056997698,0.3301339,0.3188058742,0.274554
0.2781252,0.2805928354,0.2852679,0.2858233778,0.30339284,0.3047409553,0.32962051,0.3180621935,0.28125
0.2763394,0.2778355569,0.2839286,0.2833684,0.30214284,0.3034695845,0.32899551,0.3171564273,0.272321
0.272768,0.2722773713,0.2812501,0.2793306909,0.30080356,0.3018104243,0.32830355,0.316047607,0.261161
0.2700894,0.2685719142,0.2781251,0.2760271107,0.299375,0.3002163292,0.3275223,0.3149607435,0.261161
